"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"537",8476372,2022,"Nick Seeler","PHI","D","5on4",77,78,7,34,0,0,0,0,0,0,0,0,0
"538",8479343,2022,"Clayton Keller","ARI","R","5on4",82,15339,142,179,0.84,0.85,72,17,5,4,2,11,1
"539",8478440,2022,"Dylan Strome","WSH","C","5on4",81,13845,177,319,0.89,0.89,50,18,3,85,1,7,0
"540",8476792,2022,"Torey Krug","STL","D","5on4",63,9954,121,79,0.8,0.84,40,14,4,0,1,2,1
"541",8479393,2022,"Noah Gregor","SJS","C","5on4",57,1264,43,241,0.66,0.77,6,0,0,2,0,0,2
"542",8480797,2022,"Joel Farabee","PHI","L","5on4",82,9211,171,336,0.82,0.76,22,2,0,0,1,6,1
"543",8477887,2022,"Patrick Brown","OTT","C","5on4",61,202,16,105,1,1,1,0,0,3,0,0,0
"544",8474673,2022,"TJ Brodie","TOR","D","5on4",58,306,31,89,0.03,0.5,0,0,0,0,0,0,0
"545",8476958,2022,"Jaccob Slavin","CAR","D","5on4",76,601,50,138,0.83,0.85,3,0,0,0,0,0,0
"546",8481522,2022,"Peyton Krebs","BUF","C","5on4",74,4164,98,362,0.72,0.78,8,3,1,9,0,4,1
"547",8477979,2022,"Nicolas Aube-Kubel","WSH","R","5on4",53,63,12,109,0,0,0,0,0,0,0,0,0
"548",8479425,2022,"Filip Hronek","VAN","D","5on4",64,8709,150,114,0.93,0.89,47,14,3,0,2,1,4
"549",8471699,2022,"Andrew Cogliano","COL","C","5on4",79,82,13,102,1,1,1,0,0,0,0,0,0
"550",8475692,2022,"Mats Zuccarello","MIN","R","5on4",78,16440,152,173,0.92,0.92,99,26,8,0,2,6,3
"551",8476927,2022,"Teddy Blueger","VGK","C","5on4",63,232,24,186,0.85,0.83,0,0,0,6,0,0,2
"552",8470966,2022,"Mark Giordano","TOR","D","5on4",78,2714,71,103,0.7,0.78,13,0,0,0,0,1,0
"553",8476931,2022,"Jake McCabe","TOR","D","5on4",76,365,29,87,0.11,0.83,0,0,0,0,0,0,0
"554",8480205,2022,"Emil Bemstrom","CBJ","R","5on4",55,4183,89,317,0.78,0.82,35,6,3,0,0,1,0
"555",8477508,2022,"Curtis Lazar","NJD","C","5on4",49,89,8,81,1,1,0,0,0,2,0,0,1
"556",8477426,2022,"Nicholas Paul","TBL","L","5on4",80,5496,146,448,0.82,0.84,15,4,4,42,4,2,3
"557",8477964,2022,"Ivan Barbashev","VGK","C","5on4",82,9129,150,377,0.8,0.83,30,5,2,4,1,3,3
"558",8480848,2022,"Ty Dellandrea","DAL","C","5on4",82,159,16,142,1,1,4,0,0,1,0,0,0
"559",8470604,2022,"Jeff Carter","PIT","C","5on4",79,7201,179,447,0.83,0.82,39,8,3,48,1,2,2
"560",8476925,2022,"Colton Sissons","NSH","C","5on4",82,3258,91,413,0.87,0.84,11,2,0,20,0,3,1
"561",8474053,2022,"Logan Couture","SJS","C","5on4",82,13867,163,263,0.87,0.88,91,18,4,27,1,5,3
"562",8477935,2022,"Sam Bennett","FLA","C","5on4",63,7556,153,288,0.88,0.87,60,9,4,35,2,9,3
"563",8477492,2022,"Nathan MacKinnon","COL","C","5on4",71,16397,114,191,0.92,0.91,144,27,10,28,2,9,3
"564",8482097,2022,"Jack Quinn","BUF","R","5on4",75,7199,145,416,0.8,0.79,39,5,1,1,0,6,4
"565",8476881,2022,"Tomas Hertl","SJS","C","5on4",79,13810,133,147,0.87,0.88,78,22,6,141,2,7,1
"566",8478136,2022,"Jake Middleton","MIN","D","5on4",79,579,26,95,0.89,0.77,0,0,0,0,0,0,0
"567",8474040,2022,"Sam Gagner","WPG","C","5on4",48,4204,89,228,0.85,0.86,20,3,1,4,0,4,1
"568",8471685,2022,"Anze Kopitar","LAK","C","5on4",82,13828,182,256,0.9,0.88,49,19,7,152,1,5,4
"569",8475184,2022,"Chris Kreider","NYR","L","5on4",79,15534,177,215,0.92,0.92,104,16,7,2,2,8,7
"570",8478445,2022,"Mathew Barzal","NYI","C","5on4",58,11652,113,125,0.92,0.89,65,15,4,5,4,21,1
"571",8477947,2022,"Sonny Milano","WSH","L","5on4",64,2974,75,220,0.88,0.84,8,5,1,0,0,3,1
"572",8477971,2022,"Andreas Englund","CHI","D","5on4",47,21,3,13,0,0,0,0,0,0,0,0,0
"573",8479410,2022,"Mikhail Sergachev","TBL","D","5on4",79,11693,179,119,0.88,0.87,48,25,3,0,5,4,3
"574",8478413,2022,"Jordan Greenway","BUF","L","5on4",62,1562,42,172,0.93,0.86,12,0,0,0,0,1,1
"575",8478403,2022,"Jack Eichel","VGK","C","5on4",67,10395,120,148,0.85,0.84,67,14,2,24,1,3,1
"576",8480002,2022,"Nico Hischier","NJD","C","5on4",81,13782,170,220,0.88,0.88,86,16,5,151,0,6,3
"577",8477447,2022,"Shea Theodore","VGK","D","5on4",55,7565,109,77,0.92,0.9,37,8,2,0,1,2,1
"578",8482116,2022,"Tim Sttzle","OTT","L","5on4",78,17322,214,185,0.84,0.85,116,26,10,1,2,12,3
"579",8480801,2022,"Brady Tkachuk","OTT","L","5on4",82,18882,223,214,0.86,0.86,140,28,10,153,0,10,10
"580",8475794,2022,"Tyler Seguin","DAL","C","5on4",76,9369,166,352,0.89,0.86,59,11,7,48,2,7,0
"581",8473504,2022,"Cal Clutterbuck","NYI","R","5on4",49,121,19,191,0,0,0,0,0,1,0,0,0
"582",8480459,2022,"Pius Suter","DET","C","5on4",79,372,23,203,0.63,0.88,0,0,0,1,0,0,0
"583",8480845,2022,"Rasmus Kupari","LAK","C","5on4",66,156,14,138,1,0.75,1,0,0,3,0,0,0
"584",8477034,2022,"Jaycob Megna","SEA","D","5on4",54,153,12,53,1,1,2,0,0,0,1,0,0
"585",8480018,2022,"Nick Suzuki","MTL","C","5on4",82,15866,155,206,0.8,0.86,67,14,6,84,2,4,2
"586",8482078,2022,"Lucas Raymond","DET","L","5on4",74,12399,162,294,0.91,0.89,53,14,3,1,2,4,2
"587",8480220,2022,"Noah Cates","PHI","L","5on4",82,8755,169,363,0.89,0.87,31,7,2,24,2,1,6
"588",8480036,2022,"Miro Heiskanen","DAL","D","5on4",79,14710,201,94,0.91,0.88,99,33,2,0,9,7,0
"589",8475172,2022,"Nazem Kadri","CGY","C","5on4",82,13768,168,241,0.85,0.88,99,19,11,102,0,11,3
"590",8481559,2022,"Jack Hughes","NJD","C","5on4",78,14107,150,141,0.88,0.88,115,24,9,7,0,21,1
"591",8479400,2022,"Pierre-Luc Dubois","WPG","L","5on4",73,14651,169,176,0.88,0.87,97,20,9,59,3,3,1
"592",8481533,2022,"Trevor Zegras","ANA","C","5on4",81,13225,162,233,0.85,0.89,63,17,4,5,0,13,5
"593",8478882,2022,"Vladislav Gavrikov","LAK","D","5on4",72,1584,57,102,0.35,0.74,5,0,0,0,0,0,0
"594",8480796,2022,"Martin Fehervary","WSH","D","5on4",67,279,30,75,0.69,0.64,1,0,0,0,0,0,0
"595",8481596,2022,"Shane Pinto","OTT","C","5on4",82,9543,206,448,0.85,0.87,67,9,5,4,2,5,0
"596",8474586,2022,"Jordan Eberle","SEA","R","5on4",82,11608,168,382,0.87,0.89,42,12,2,8,1,4,6
"597",8481542,2022,"Moritz Seider","DET","D","5on4",82,14610,185,101,0.88,0.87,77,13,1,0,3,4,15
"598",8475164,2022,"Jakob Silfverberg","ANA","R","5on4",81,8125,163,431,0.79,0.85,44,7,4,3,2,1,0
"599",8478542,2022,"Evan Rodrigues","COL","C","5on4",69,7532,137,308,0.92,0.88,38,10,6,7,1,4,0
"600",8479439,2022,"Jacob MacDonald","SJS","D","5on4",58,2438,65,90,0.67,0.73,9,1,0,0,0,2,2
"601",8475765,2022,"Vladimir Tarasenko","NYR","R","5on4",69,9639,120,273,0.86,0.88,77,13,3,0,1,4,2
"602",8480014,2022,"Gabriel Vilardi","LAK","R","5on4",63,10646,151,259,0.89,0.89,45,9,5,15,1,3,2
"603",8479328,2022,"Julien Gauthier","OTT","R","5on4",57,247,14,103,1,1,1,0,0,0,0,0,0
"604",8478841,2022,"Colton White","ANA","D","5on4",46,167,10,36,1,0.8,0,0,0,0,0,0,0
"605",8479580,2022,"Dylan Gambrell","OTT","C","5on4",60,59,9,81,0,0,0,0,0,2,0,0,0
"606",8481546,2022,"Cam York","PHI","D","5on4",54,5586,102,102,0.75,0.8,18,3,0,0,2,1,1
"607",8479976,2022,"Juuso Valimaki","ARI","D","5on4",78,8066,128,151,0.79,0.82,24,11,1,0,0,2,0
"608",8475784,2022,"Jeff Skinner","BUF","L","5on4",79,14256,194,249,0.89,0.91,95,19,8,26,1,7,0
"609",8481524,2022,"Bowen Byram","COL","D","5on4",42,3141,77,118,0.92,0.86,15,5,1,0,0,0,0
"610",8478067,2022,"Oskar Lindblom","SJS","L","5on4",73,2015,59,302,0.73,0.73,5,1,0,0,0,1,0
"611",8476457,2022,"Adam Larsson","SEA","D","5on4",82,788,66,172,0.93,0.76,1,0,0,0,1,0,1
"612",8479335,2022,"Rasmus Asplund","NSH","C","5on4",46,485,19,119,0.96,0.83,2,0,0,2,0,2,0
"613",8480145,2022,"Neal Pionk","WPG","D","5on4",82,9112,193,169,0.83,0.86,39,2,1,0,0,4,6
"614",8475752,2022,"Tyler Pitlick","STL","C","5on4",61,238,11,83,1,0.8,0,0,0,0,0,0,0
"615",8478911,2022,"Matt Roy","LAK","D","5on4",82,233,20,72,0.73,0.71,0,0,0,0,0,0,0
