"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"595",8481596,2022,"Shane Pinto","OTT","C","5on5",82,63996,1408,414,0.51,0.51,188,23,14,422,34,26,70
"596",8474586,2022,"Jordan Eberle","SEA","R","5on5",82,67314,1448,382,0.52,0.52,256,44,16,26,52,28,37
"597",8481542,2022,"Moritz Seider","DET","D","5on5",82,81591,1692,265,0.47,0.47,194,21,3,0,19,34,150
"598",8475164,2022,"Jakob Silfverberg","ANA","R","5on5",81,51536,1225,760,0.37,0.4,158,15,6,9,20,15,9
"599",8478542,2022,"Evan Rodrigues","COL","C","5on5",69,62033,1267,304,0.56,0.56,258,24,8,93,27,26,33
"600",8479439,2022,"Jacob MacDonald","SJS","D","5on5",58,38679,811,315,0.51,0.49,130,7,1,0,10,30,65
"601",8475765,2022,"Vladimir Tarasenko","NYR","R","5on5",69,57355,1241,352,0.43,0.45,203,31,12,0,23,22,72
"602",8480014,2022,"Gabriel Vilardi","LAK","R","5on5",63,46430,992,424,0.57,0.54,154,29,17,36,22,13,37
"603",8479328,2022,"Julien Gauthier","OTT","R","5on5",57,29040,685,590,0.44,0.45,93,14,9,3,13,10,105
"604",8478841,2022,"Colton White","ANA","D","5on5",46,36831,801,239,0.38,0.41,55,4,0,0,7,11,33
"605",8479580,2022,"Dylan Gambrell","OTT","C","5on5",60,32839,833,562,0.42,0.45,82,8,4,123,10,13,59
"606",8481546,2022,"Cam York","PHI","D","5on5",54,54895,1136,176,0.52,0.49,99,14,2,0,10,22,41
"607",8479976,2022,"Juuso Valimaki","ARI","D","5on5",78,71339,1550,262,0.51,0.5,160,17,2,0,14,44,48
"608",8475784,2022,"Jeff Skinner","BUF","L","5on5",79,65126,1412,344,0.51,0.54,313,56,25,100,40,39,19
"609",8481524,2022,"Bowen Byram","COL","D","5on5",42,48005,955,90,0.47,0.51,114,13,5,0,12,16,77
"610",8478067,2022,"Oskar Lindblom","SJS","L","5on5",73,40870,1028,752,0.45,0.45,124,14,6,8,12,12,62
"611",8476457,2022,"Adam Larsson","SEA","D","5on5",82,97656,1890,123,0.53,0.55,282,28,6,0,29,29,196
"612",8479335,2022,"Rasmus Asplund","NSH","C","5on5",46,27263,607,423,0.44,0.46,67,6,1,17,6,2,23
"613",8480145,2022,"Neal Pionk","WPG","D","5on5",82,86443,1858,208,0.48,0.49,234,24,6,0,27,44,135
"614",8475752,2022,"Tyler Pitlick","STL","C","5on5",61,35863,801,611,0.44,0.45,94,16,7,2,18,6,103
"615",8478911,2022,"Matt Roy","LAK","D","5on5",82,78783,1522,299,0.56,0.52,228,18,5,0,6,38,105
